bank_name,debit_transactions,debit_amount,credit_transactions,credit_amount,month
STANDARD CHARTERED BANK,4676442,725688.632,1826125,589008.763,March 2019
STATE BANK OF INDIA,26992077,3746425.629,57089481,4035802.927,March 2019
SUMITOMO MITSUI BANKING CORP,15695,21585.219,4110,17632.191,March 2019
SURAT DIST CO-OP BANK,14982,2466.056,32839,4351.799,March 2019
SURAT NATIONAL CO-OP BANK,13793,1146.042,15369,811.534,March 2019
SURAT PEOPLES CO-OP BANK,32985,2572.180,51083,3240.941,March 2019
SURYODAY SMALL FINANCE BANK,131177,5624.297,6063,1440.221,March 2019
SUTEX CO-OP BANK,22512,1236.527,26803,1750.189,March 2019
SYNDICATE BANK,1615169,249925.500,3855930,335574.626,March 2019
SHRI VEERSHAIV CO-OP BANK,4841,426.099,1152,119.347,March 2019
SINDHUDURG DCCB,5772,335.283,13709,367.101,March 2019
TAMIL NADU STATE APEX CO-OP BANK,102514,3429.489,96043,5959.872,March 2019
TAMILNADU MERCANTILE BANK,487744,46791.284,753961,53175.314,March 2019
TELANGANA STATE CO-OP APEX BANK,28586,1761.510,55457,3401.556,March 2019
TEXTILE TRADERS CO-OP BANK,2488,206.517,2163,215.432,March 2019
THANE BHARAT SAHAKARI BANK,11562,1789.482,29295,2255.206,March 2019
THANE DIST CENTRAL CO-OP BANK,21769,7348.348,98982,6098.240,March 2019
THANE JANATA SAHAKARI BANK,102358,10069.610,211431,14698.398,March 2019
A P MAHESH URBAN CO-OP BANK,18439,3974.401,38973,4368.263,March 2019
AP STATE CO-OP BANK,29118,2056.086,25974,2571.111,March 2019
BARAMATI SAHAKARI BANK,9504,681.398,11845,1422.366,March 2019
GUJARAT STATE CO-OP BANK,88907,28534.853,215833,24073.040,March 2019
HARYANA STATE CO-OP APEX BANK,1759,113.756,1488,115.784,March 2019
HASTI CO-OP BANK,6834,395.644,5316,521.935,March 2019
KANGRA CENTRAL CO-OP BANK,44016,1482.236,66362,2978.534,March 2019
KANGRA CO-OP BANK,4377,638.155,15819,496.422,March 2019
KERALA STATE CO-OP BANK,300,618.303,45,104.587,March 2019
NASIK MERCHANTS CO-OP BANK,15121,928.425,23307,1397.637,March 2019
NAVNIRMAN CO-OP BANK,5408,341.683,11717,800.208,March 2019
PANDHARPUR URBAN CO-OP BANK,3431,269.900,3513,830.922,March 2019
RAJASTHAN STATE CO-OP BANK,94058,6567.781,237943,7104.674,March 2019
SAHEBRAO DESHMUKH CO-OP BANK,3791,963.157,10908,530.203,March 2019
URBAN CO-OP BANK,824,152.919,69,9.417,March 2019
VARACHHA CO-OP BANK,24416,1928.955,45254,2635.370,March 2019
VIJAY CO-OP OP BANK,2,0.001,0,0.000,March 2019
VISHWESHWAR SAHAKARI BANK,11244,1166.077,25949,1518.953,March 2019
ZOROASTRIAN CO-OP BANK,5361,319.918,9147,986.609,March 2019
TUMKUR GRAIN MERCHANTS CO-OP BANK,8795,694.653,6864,580.936,March 2019
GADCHIROLI DIST CO-OP BANK,7970,668.702,80444,1281.236,March 2019
THRISSUR DIST CO-OP BANK,4811,286.043,18211,565.713,March 2019
UCO BANK,839025,77489.145,3487453,149551.872,March 2019
UJJIVAN SMALL FINANCE BANK,49028,3577.347,54144,9300.551,March 2019
UNION BANK OF INDIA,2883859,370504.359,7099430,553998.756,March 2019
UNITED BANK OF INDIA,1293664,89772.942,5267617,176228.544,March 2019
UNITED OVERSEAS BANK,76,266.446,48,2597.812,March 2019
UTKARSH SMALL FINANCE BANK,235869,9066.992,14626,3366.637,March 2019
VASAI VIKAS SAHAKARI BANK,5365,633.414,19782,1040.861,March 2019
VIJAYA BANK,831525,86020.725,2146621,169688.742,March 2019
VASAI JANATA SAHAKARI BANK,3664,724.815,3437,272.269,March 2019
WEST BENGAL STATE CO-OP BANK,47245,1536.289,215865,7271.021,March 2019
WESTPAC BANKING CORP,2819,975.193,62,11.478,March 2019
WOORI BANK,8002,3422.447,1403,5910.246,March 2019
YES BANK,12174445,853762.940,3588464,719315.590,March 2019
ZILA SAHKARI BANK GHAZIABAD,3501,673.139,10004,556.637,March 2019
ABHYUDAYA CO-OP BANK,90326,4743.400,205152,7615.126,April 2019
ABU DHABI COMMERCIAL BANK,2417,386.100,1582,1020.937,April 2019
AHMEDABAD MERCANTILE CO-OP BANK,17150,1686.045,32179,2368.088,April 2019
AHMEDNAGAR MERCHANTS CO-OP BANK,8364,819.919,5418,1991.219,April 2019
AIRTEL PAYMENTS BANK,273736,23591.254,141095,11473.637,April 2019
AKOLA DIST CENTRAL CO-OP BANK,12969,1512.188,18669,1508.456,April 2019
ALLAHABAD BANK,1325716,109871.258,3828712,156261.472,April 2019
ALMORA URBAN CO-OP BANK,14512,630.313,19348,687.664,April 2019
AMBARNATH JAI HIND CO-OP BANK,1799,146.196,3635,123.970,April 2019
ANDHRA BANK,969626,139901.563,3142304,187661.581,April 2019
ANDHRA PRAGATHI GRAMEENA BANK,42516,4799.387,115021,5395.574,April 2019
ANZ BANKING GROUP,32038,12971.803,7396,11102.642,April 2019
APANA SAHAKARI BANK,14553,1537.757,55003,2633.639,April 2019
AU SMALL FINANCE BANK,158134,17103.904,125056,19608.194,April 2019
AXIS BANK,17778807,1354485.370,9364107,1224008.905,April 2019
ADITYA BIRLA IDEA PAYMENTS BANK,6026,33.349,14335,1494.928,April 2019
AKOLA JANATA COMMERCIAL CO-OP BANK,15547,1453.643,13268,1495.949,April 2019
ANDHRA PRADESH GRAMEEN VIKAS BANK,39260,2475.082,218182,5331.215,April 2019
BANK N PARIBAS,311130,162915.210,144395,249348.768,April 2019
BANDHAN BANK,453966,26417.275,419315,29819.284,April 2019
BANK INTERNASIONAL INDONESIA,1242,193.220,22,21.345,April 2019
BANK OF AMERICA,603813,143298.548,128933,156468.890,April 2019
BANK OF BAHARIEN AND KUWAIT,14539,3857.999,2432,1267.413,April 2019
BANK OF BARODA,3759824,348719.623,9809523,491308.849,April 2019
BANK OF CEYLON,1773,150.655,588,195.666,April 2019
BANK OF INDIA,2431286,150137.637,7605460,379850.766,April 2019
BANK OF MAHARASHTRA,1138705,131037.239,2831312,151018.972,April 2019
BANK OF NOVA SCOTIA,724,1995.731,587,3217.505,April 2019
BANK OF TOKYO AND MITSUBISHI,64442,35247.112,9529,43571.981,April 2019
BARCLAYS BANK,40475,36175.227,6535,30569.319,April 2019
BASSEIN CATHOLIC CO-OP BANK,34357,3005.463,68355,3796.757,April 2019
BHAGINI NIVEDITA SAHAKARI BANK,3005,94.551,3687,96.724,April 2019
BHARAT CO-OP BANK,95449,7974.625,168670,9943.882,April 2019
CANARA BANK,3116015,301971.643,6098428,509585.242,April 2019
CAPITAL LOCAL AREA BANK,32612,2448.347,43057,3871.888,April 2019
CATHOLIC SYRIAN BANK,124312,9318.134,176356,9464.259,April 2019
CENTRAL BANK OF INDIA,2531065,188716.200,6083750,250540.632,April 2019
CITI BANK,8753256,1320147.578,2407224,1024366.739,April 2019
CITIZEN CREDIT CO-OP BANK,11534,884.141,28573,1621.182,April 2019
CITY UNION BANK,854826,52310.070,673669,51418.641,April 2019
CORP BANK,2426131,149506.028,2604301,181593.407,April 2019
COSMOS CO-OP BANK,123232,17114.098,213565,17369.399,April 2019
CREDIT AGRICOLE CORP AND INVESTMENT BANK,8937,9766.043,777,21743.277,April 2019
CREDIT SUISSE AG,62,13.983,32,1609.062,April 2019
CTBC BANK CO-OP,1159,2969.228,539,890.287,April 2019
DCB BANK,287368,24744.324,307754,31826.804,April 2019
DELHI STATE CO-OP OP BANK,2193,110.938,7875,423.731,April 2019
DENA BANK,461313,51540.241,1473612,71384.223,April 2019
DEOGIRI NAGARI SAHAKARI BANK,4919,782.166,11888,573.991,April 2019
DEUTSCHE BANK,3487951,435164.974,511480,363116.133,April 2019
DEVELOPMENT BANK OF SINGAPORE,486014,139349.207,157299,68638.523,April 2019
DHANLAXMI BANK,139264,7211.545,160121,10142.088,April 2019
DICGC BANK,89,6.395,162,26.020,April 2019
DMK JAOLI BANK,3410,282.346,12556,400.216,April 2019
DOHA BANK QSC,29048,3831.578,854,273.695,April 2019
DOMBIVLI NAGRIK SAHAKARI BANK,22093,1915.614,60690,2369.103,April 2019
DURGAPUR STEEL PEOPLES CO-OP BANK,992,51.097,1008,25.011,April 2019
EMIRATES NBD BANK PJSC,146,436.802,104,949.958,April 2019
EQUITAS SMALL FINANCE BANK,101598,5863.641,69689,5618.642,April 2019
ESAF SMALL FINANCE BANK,12060,1015.786,23327,1794.890,April 2019
EXPORT IMPORT BANK OF INDIA,0,0.000,180,1196.039,April 2019
FEDERAL BANK,2060804,159814.930,1731803,121983.054,April 2019
FINCARE SMALL FINANCE BANK,9931,1260.205,3731,743.766,April 2019
FINO PAYMENTS BANK,359830,9040.247,79638,4548.914,April 2019
FIRSTRAND BANK,77,414.450,55,2116.386,April 2019
GOPINATH PATIL PARSIK JAN SAHA BANK,31306,3283.691,85395,4337.389,April 2019
GREATER BOMBAY CO-OP BANK,8748,703.378,35424,1355.867,April 2019
HDFC BANK,28643861,3181136.844,15739941,2913396.975,April 2019
HIMACHAL PRADESH STATE CO-OP,51362,2161.952,46920,2894.116,April 2019
HSBC BANK,2021358,466544.491,726505,414149.798,April 2019
ICICI BANK,16862650,1361689.754,12289684,1662654.503,April 2019
IDBI BANK,6051688,459689.851,3953170,472589.643,April 2019
IDFC BANK,444263,99394.298,415749,75898.765,April 2019
IDUKKI DIST CO-OP BANK,5234,785.987,3058,375.199,April 2019
INDIA POST PAYMENTS BANK,36394,1141.993,15740,378.932,April 2019
INDIAN BANK,1227129,113776.102,4006258,224939.074,April 2019
INDIAN OVERSEAS BANK,1566972,117260.888,3453184,168857.996,April 2019
INDUSIND BANK,2909037,322721.390,1575520,280793.377,April 2019
INDUSTRIAL AND CO-OP BANK OF CHINA,993,2741.877,196,2497.173,April 2019
INDUSTRIAL BANK OF KOREA,1441,322.746,223,1053.934,April 2019
IRINJALAKUDA TOWN CO-OP BANK,1275,62.561,749,66.077,April 2019
JALGAON JANATA SAHKARI BANK,10846,532.317,15260,1635.623,April 2019
JALGAON PEOPLES CO-OP BANK,15965,2575.789,26190,1533.873,April 2019
JAMMU AND KASHMIR BANK,463665,66531.441,434198,35490.126,April 2019
JANA SMALL FINANCE BANK,57350,2842.915,10017,3081.795,April 2019
JANAKALYAN SAHAKARI BANK,12782,1221.608,33816,1618.597,April 2019
JANATA SAHAKARI BANK,61046,5739.619,93588,6286.318,April 2019
JANSEVA SAHAKARI BANK BORIVILI,3923,590.496,9274,448.217,April 2019
JANSEVA SAHAKARI BANK PUNE,8826,434.069,36346,1687.956,April 2019
JP MORGAN BANK,385702,69891.787,12622,78540.478,April 2019
JIO PAYMENTS BANK,1753,10.895,147,2.182,April 2019
KALLAPPANNA AWADE IJSB,15805,1084.966,19928,2024.860,April 2019
KALUPUR COMM CO-OP BANK,50573,6789.754,92777,12437.586,April 2019
KALYAN JANATA SAHAKARI BANK,12010,1212.763,47167,2027.692,April 2019
KARAD URBAN CO-OP BANK,19408,1573.110,26631,2792.248,April 2019
KARNATAKA BANK,476501,41592.636,1162801,61485.110,April 2019
KARNATAKA STATE CO-OP APEX BANK,206719,8833.315,167014,7653.043,April 2019
KARNATAKA VIKAS GRAMEEN BANK,67566,11744.589,111320,6569.424,April 2019
KARUR VYSYA BANK,929218,91881.224,1382648,95281.097,April 2019
KAVERI GRAMEENA BANK,29173,9846.923,71665,2003.791,April 2019
KOREA EXCHANGE BANK,1912,2184.126,763,4391.267,April 2019
KOTAK MAHINDRA BANK,7776934,665856.865,4437011,646463.976,April 2019
KURMANCHAL NAGAR SAHAKARI BANK,15574,1857.574,12187,1090.996,April 2019
KERALA GRAMIN BANK,77490,13695.921,325178,6926.368,April 2019
KOZHIKODE DIST CO-OP BANK,5153,1441.633,8290,1971.401,April 2019
KRUNG THAI BANK PCL,74,6.550,13,2.383,April 2019
LAKSHMI VILAS BANK,370342,26041.420,344803,30322.378,April 2019
MAHANAGAR CO-OP BANK,15461,1425.260,45821,2410.126,April 2019
MAHARASHTRA GRAMIN BANK,86837,10381.720,340007,6845.596,April 2019
MAHARASHTRA STATE CO-OP BANK,4986,1838.528,12944,12021.505,April 2019
MAHESH SAHAKARI BANK PUNE,6346,512.696,2349,308.246,April 2019
MASHREQ BANK,464,566.512,60,62.444,April 2019
MEHSANA URBAN CO-OP BANK,40987,3672.713,50121,6010.412,April 2019
MIZUHO CORP BANK,29138,18608.118,5284,24799.619,April 2019
MUMBAI DIST CENTRAL CO-OP BANK,13760,873.603,25620,1803.686,April 2019
MUNICIPAL CO-OP BANK,3460,223.645,3232,99.884,April 2019
NABARD BANK,17,6275.485,1,0.001,April 2019
NAGAR URBAN CO-OP BANK,12104,1880.797,11469,822.048,April 2019
NAGPUR NAGRIK SAHAKARI BANK,13830,1176.576,20823,1705.770,April 2019
NAINITAL BANK,45141,3966.847,62752,4130.657,April 2019
NATIONAL AUSTRALIA BANK,1,0.028,2,0.000,April 2019
NATIONAL BANK OF ABU DHABI PJSC,325,708.519,8,344.088,April 2019
NAV JEEVAN CO-OP BANK,3064,383.062,480,53.725,April 2019
NEW INDIA CO-OP BANK,15518,1169.157,37677,1677.578,April 2019
NKGSB BANK,42902,4407.216,81086,4492.016,April 2019
NORTH EAST SMALL FINANCE BANK,2832,176.262,780,32.690,April 2019
NSDL PAYMENTS BANK,17,2.701,26,0.095,April 2019
NUTAN NAGARIK SAHAKARI BANK,19367,1486.324,32812,2374.549,April 2019
ORIENTAL BANK OF COMMERCE,1251788,140925.165,2437702,185207.171,April 2019
PRATHAMA BANK,37337,8333.777,236611,6339.227,April 2019
PRIME CO-OP BANK SURAT,17028,1227.250,19356,974.371,April 2019
PUNJAB AND MAHARASHTRA CO-OP BANK,60330,3222.816,237613,6763.597,April 2019
PUNJAB AND SIND BANK,284947,31957.058,798467,42481.233,April 2019
PUNJAB NATIONAL BANK,4474839,432371.403,10548464,813482.140,April 2019
PAYTM PAYMENTS BANK,200758,80554.649,433046,88045.752,April 2019
PRAGATHI KRISHNA GRAMIN BANK,57976,15568.241,115803,10188.384,April 2019
QATAR NATIONAL BANK,18,1071.986,16,413.151,April 2019
RABOBANK INTERNATIONAL,2779,5099.824,317,4774.556,April 2019
RAJARAMBAPU SAHAKARI BANK,12705,1195.589,3593,456.720,April 2019
RAJGURUNAGAR SAHAKARI BANK,10046,578.645,20470,588.024,April 2019
RAJKOT NAGARIK SAHAKARI BANK,16352,1076.139,32176,2153.855,April 2019
RBI PAD,21335029,1583274.196,1331179,207226.875,April 2019
RBL BANK,2671638,125777.097,828734,150782.754,April 2019
SAMARTH SAHAKARI BANK SOLAPUR,4045,268.657,6292,335.585,April 2019
SANT SOPANKAKA SAHAKARI BANK,401,16.465,31,3.713,April 2019
SARASWAT CO-OP BANK,317851,30224.253,585479,45864.399,April 2019
SBER BANK,198,156.186,42,213.059,April 2019
SBM BANK INDIA,1765,3192.803,1298,875.101,April 2019
SEVA VIKAS CO-OP BANK,6860,335.968,29707,1172.683,April 2019
SHAMRAO VITHAL CO-OP BANK,173962,16777.625,331739,20138.655,April 2019
SHIKSHAK SAHAKARI BANK,4817,453.172,7051,411.046,April 2019
SHINHAN BANK,26455,12469.297,19397,12750.471,April 2019
SHIVALIK MERCANTILE CO-OP BANK,10578,869.487,10280,676.711,April 2019
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,15181,937.046,9601,752.074,April 2019
SIDBI BANK,0,0.000,3,0.150,April 2019
SIR M.VISVESWARAYA CO-OP BANK,1371,178.361,1451,80.616,April 2019
SOCIETE GENERALE,7315,21398.849,246,17800.046,April 2019
SOLAPUR JANATA SAHAKARI BANK,10404,2969.124,12598,1565.021,April 2019
SOUTH INDIAN BANK,663675,58498.547,857282,55104.699,April 2019
STANDARD CHARTERED BANK,3613105,681122.556,1657386,463295.369,April 2019
STATE BANK OF INDIA,22283593,2866164.552,47113711,3480332.643,April 2019
SUMITOMO MITSUI BANKING CORP,15964,25720.573,3689,22158.758,April 2019
SURAT DIST CO-OP BANK,13676,1483.123,23268,2035.542,April 2019
SURAT NATIONAL CO-OP BANK,12526,1123.000,13500,591.414,April 2019
SURAT PEOPLES CO-OP BANK,28671,1961.154,42105,2423.918,April 2019
SURYODAY SMALL FINANCE BANK,88735,3579.460,5482,350.477,April 2019
SUTEX CO-OP BANK,20284,881.053,21879,1351.422,April 2019
SYNDICATE BANK,1456034,193804.524,3145579,169888.103,April 2019
SHRI VEERSHAIV CO-OP BANK,4643,392.907,1400,151.817,April 2019
SINDHUDURG DCCB,5774,311.697,6325,384.975,April 2019
TAMIL NADU STATE APEX CO-OP BANK,93956,3146.420,70034,5978.663,April 2019
TAMILNADU MERCANTILE BANK,426986,42727.330,647736,47855.773,April 2019
TELANGANA STATE CO-OP APEX BANK,25922,1605.914,74807,2659.807,April 2019
TEXTILE TRADERS CO-OP BANK,2308,151.074,1665,140.338,April 2019
THANE BHARAT SAHAKARI BANK,10577,1543.584,26294,1509.386,April 2019
THANE DIST CENTRAL CO-OP BANK,20860,3718.084,62440,2174.004,April 2019
THANE JANATA SAHAKARI BANK,91289,11611.441,185149,11092.732,April 2019
A P MAHESH URBAN CO-OP BANK,17120,3424.407,33231,3947.677,April 2019
AP STATE CO-OP BANK,24897,1394.240,20666,3069.872,April 2019
BARAMATI SAHAKARI BANK,8303,551.380,10950,976.571,April 2019
GUJARAT STATE CO-OP BANK,84569,22353.701,143964,15676.780,April 2019
HARYANA STATE CO-OP APEX BANK,1556,65.290,1574,195.592,April 2019
HASTI CO-OP BANK,5773,384.846,4755,521.681,April 2019
KANGRA CENTRAL CO-OP BANK,35105,1444.685,37776,2312.424,April 2019
KANGRA CO-OP BANK,4099,693.157,13821,398.105,April 2019
KERALA STATE CO-OP BANK,734,8880.499,237,4380.574,April 2019
NASIK MERCHANTS CO-OP BANK,12670,916.762,18988,1309.257,April 2019
NAVNIRMAN CO-OP BANK,4295,256.798,8083,552.315,April 2019
PANDHARPUR URBAN CO-OP BANK,3216,259.106,3780,855.729,April 2019
RAJASTHAN STATE CO-OP BANK,58205,3285.012,230042,2577.979,April 2019
SAHEBRAO DESHMUKH CO-OP BANK,3595,854.443,9170,410.748,April 2019
URBAN CO-OP BANK,1345,203.654,106,15.602,April 2019
VARACHHA CO-OP BANK,21742,1537.670,39122,1552.223,April 2019
VIJAY CO-OP OP BANK,650,48.655,9,0.314,April 2019
VISHWESHWAR SAHAKARI BANK,10551,929.183,23862,1484.347,April 2019
ZOROASTRIAN CO-OP BANK,4896,183.994,7291,571.023,April 2019
TUMKUR GRAIN MERCHANTS CO-OP BANK,7677,574.550,5766,430.681,April 2019
GADCHIROLI DIST CO-OP BANK,9309,832.203,47302,797.273,April 2019
THRISSUR DIST CO-OP BANK,3909,614.170,18288,1445.464,April 2019
UCO BANK,713153,80920.544,2802066,105411.121,April 2019
UJJIVAN SMALL FINANCE BANK,35794,2221.654,49935,6189.904,April 2019
UNION BANK OF INDIA,2548076,285703.034,5545800,412087.402,April 2019
UNITED BANK OF INDIA,1062845,63754.409,3662239,105193.838,April 2019
UNITED OVERSEAS BANK,81,60.575,40,47.811,April 2019
UTKARSH SMALL FINANCE BANK,121059,5019.104,12352,2484.014,April 2019
VASAI VIKAS SAHAKARI BANK,5096,545.632,18431,919.058,April 2019
VIJAYA BANK,714890,62653.447,1725173,104017.824,April 2019
VASAI JANATA SAHAKARI BANK,3391,530.995,3371,246.504,April 2019
WEST BENGAL STATE CO-OP BANK,59701,29365.501,276815,6905.677,April 2019
WESTPAC BANKING CORP,2437,642.282,39,99.841,April 2019
WOORI BANK,8397,3247.610,1475,6924.361,April 2019
YES BANK,11437524,683173.607,3217442,595866.945,April 2019
ZILA SAHKARI BANK GHAZIABAD,1879,600.387,9855,313.435,April 2019
ABHYUDAYA CO-OP BANK,95916,5045.194,210301,7998.991,May 2019
ABU DHABI COMMERCIAL BANK,2962,1011.756,1102,286.448,May 2019
AHMEDABAD MERCANTILE CO-OP BANK,19138,2287.165,34260,2617.296,May 2019
AHMEDNAGAR MERCHANTS CO-OP BANK,8292,977.264,6276,1634.499,May 2019
AIRTEL PAYMENTS BANK,339859,26324.109,180890,12565.786,May 2019
AKOLA DIST CENTRAL CO-OP BANK,15169,1643.919,30781,1636.741,May 2019
ALLAHABAD BANK,1606125,147187.553,3894061,183502.688,May 2019
ALMORA URBAN CO-OP BANK,18366,696.992,21911,915.076,May 2019
AMBARNATH JAI HIND CO-OP BANK,1973,148.848,5391,157.405,May 2019
ANDHRA BANK,1076507,151964.087,3257643,208779.522,May 2019
ANDHRA PRAGATHI GRAMEENA BANK,39546,3295.361,109543,3971.169,May 2019
ANZ BANKING GROUP,33138,12296.748,8115,7494.672,May 2019
APANA SAHAKARI BANK,15494,1403.001,55699,3038.247,May 2019
AU SMALL FINANCE BANK,153054,19992.145,139157,23513.517,May 2019
AXIS BANK,19005558,1362039.073,10102164,1281360.861,May 2019
ADITYA BIRLA IDEA PAYMENTS BANK,5964,29.114,13954,1438.673,May 2019
AKOLA JANATA COMMERCIAL CO-OP BANK,17469,1633.401,14642,1526.058,May 2019
ANDHRA PRADESH GRAMEEN VIKAS BANK,35995,2154.259,110868,3468.279,May 2019
BANK N PARIBAS,305531,158684.897,162059,246584.839,May 2019
BANDHAN BANK,442936,25123.562,467108,28945.964,May 2019
BANK INTERNASIONAL INDONESIA,1397,220.759,46,35.108,May 2019
BANK OF AMERICA,616083,168867.197,135094,152009.059,May 2019
BANK OF BAHARIEN AND KUWAIT,16072,4972.681,2715,1293.078,May 2019
BANK OF BARODA,3418750,363118.445,10681671,501895.887,May 2019
BANK OF CEYLON,1869,143.796,697,288.264,May 2019
BANK OF INDIA,2678161,157741.514,7921565,405022.220,May 2019
BANK OF MAHARASHTRA,1108115,89003.647,2724624,138508.540,May 2019
BANK OF NOVA SCOTIA,800,1225.008,661,5647.638,May 2019
BANK OF TOKYO AND MITSUBISHI,64138,25558.301,10755,39543.806,May 2019
BARCLAYS BANK,50613,22611.751,6820,22282.098,May 2019
BASSEIN CATHOLIC CO-OP BANK,37168,3186.878,71338,4041.488,May 2019
BHAGINI NIVEDITA SAHAKARI BANK,3304,100.924,4460,140.666,May 2019
BHARAT CO-OP BANK,97672,7880.419,177110,10042.854,May 2019
CANARA BANK,3182274,343255.166,6433205,512895.964,May 2019
CAPITAL LOCAL AREA BANK,38764,3051.523,51367,4927.254,May 2019
CATHOLIC SYRIAN BANK,151738,11103.157,193682,10636.560,May 2019
CENTRAL BANK OF INDIA,2791018,223750.251,6244812,261898.446,May 2019
CITI BANK,8054274,1264909.947,2734419,968372.102,May 2019
CITIZEN CREDIT CO-OP BANK,12701,911.407,29936,1540.536,May 2019
CITY UNION BANK,948048,57963.811,730437,57639.694,May 2019
CORP BANK,2336887,136990.681,2742222,187558.918,May 2019
COSMOS CO-OP BANK,130062,18461.853,218596,18565.534,May 2019
CREDIT AGRICOLE CORP AND INVESTMENT BANK,7943,4146.301,721,21227.416,May 2019
CREDIT SUISSE AG,77,6319.609,56,520.368,May 2019
CTBC BANK CO-OP,1377,684.438,697,3351.668,May 2019
DCB BANK,311668,29506.838,361487,32898.790,May 2019
DELHI STATE CO-OP OP BANK,2819,116.950,7922,299.221,May 2019
DENA BANK,494266,49218.695,1473005,81123.711,May 2019
DEOGIRI NAGARI SAHAKARI BANK,5304,571.844,12301,585.324,May 2019
DEUTSCHE BANK,3389595,504273.921,542305,357773.776,May 2019
DEVELOPMENT BANK OF SINGAPORE,515371,125786.160,171559,57476.848,May 2019
DHANLAXMI BANK,148139,7059.897,175954,10638.285,May 2019
DICGC BANK,108,34.805,418,840.953,May 2019
DMK JAOLI BANK,3467,252.524,11361,389.718,May 2019
DOHA BANK QSC,33708,4379.004,936,410.874,May 2019
DOMBIVLI NAGRIK SAHAKARI BANK,20366,1722.767,60984,2371.178,May 2019
DURGAPUR STEEL PEOPLES CO-OP BANK,1705,53.441,1086,30.348,May 2019
EMIRATES NBD BANK PJSC,136,1802.658,115,1949.579,May 2019
EQUITAS SMALL FINANCE BANK,114803,8600.291,73473,6109.721,May 2019
ESAF SMALL FINANCE BANK,13256,796.892,24666,1597.600,May 2019
EXPORT IMPORT BANK OF INDIA,0,0.000,187,732.157,May 2019
FEDERAL BANK,2269087,173343.782,1897337,132756.749,May 2019
FINCARE SMALL FINANCE BANK,7314,1695.228,4609,903.879,May 2019
FINO PAYMENTS BANK,381044,9498.778,84778,4950.387,May 2019
FIRSTRAND BANK,34,849.942,56,2942.216,May 2019
GOPINATH PATIL PARSIK JAN SAHA BANK,33265,3467.628,86765,4785.077,May 2019
GREATER BOMBAY CO-OP BANK,9670,570.727,36481,1366.535,May 2019
HDFC BANK,31391429,3211339.717,16797767,3055523.006,May 2019
HIMACHAL PRADESH STATE CO-OP,53352,1943.150,55770,2206.798,May 2019
HSBC BANK,2305525,505314.599,826054,486714.051,May 2019
ICICI BANK,17595091,1494405.834,13222329,1750351.996,May 2019
IDBI BANK,6280318,405828.309,4213411,490572.464,May 2019
IDFC BANK,543695,88863.107,452588,113108.090,May 2019
IDUKKI DIST CO-OP BANK,5672,536.730,2891,284.873,May 2019
INDIA POST PAYMENTS BANK,43438,1417.421,17526,522.259,May 2019
INDIAN BANK,1357331,126744.187,4257760,219683.759,May 2019
INDIAN OVERSEAS BANK,1670911,120524.436,3725865,184899.311,May 2019
INDUSIND BANK,3572837,380736.800,1712849,314301.475,May 2019
INDUSTRIAL AND CO-OP BANK OF CHINA,935,1344.161,227,1968.936,May 2019
INDUSTRIAL BANK OF KOREA,1624,550.092,231,1538.650,May 2019
IRINJALAKUDA TOWN CO-OP BANK,1393,67.884,750,60.582,May 2019
JALGAON JANATA SAHKARI BANK,11392,560.318,17690,1353.510,May 2019
JALGAON PEOPLES CO-OP BANK,17898,4080.581,32536,1562.446,May 2019
JAMMU AND KASHMIR BANK,591660,63409.128,517098,40550.390,May 2019
JANA SMALL FINANCE BANK,45449,3116.893,10833,1452.866,May 2019
JANAKALYAN SAHAKARI BANK,13874,1230.871,35327,1867.083,May 2019
JANATA SAHAKARI BANK,63603,5503.990,94544,6765.829,May 2019
JANSEVA SAHAKARI BANK BORIVILI,4176,657.068,9219,449.438,May 2019
JANSEVA SAHAKARI BANK PUNE,9003,481.435,36491,1283.982,May 2019
JP MORGAN BANK,386715,69511.431,13660,62653.019,May 2019
JIO PAYMENTS BANK,1786,14.075,151,11.789,May 2019
KALLAPPANNA AWADE IJSB,17339,1384.851,21648,1898.252,May 2019
KALUPUR COMM CO-OP BANK,56625,5918.567,95534,7890.309,May 2019
KALYAN JANATA SAHAKARI BANK,13111,1242.338,46783,2097.844,May 2019
KARAD URBAN CO-OP BANK,19892,1627.419,27937,2828.961,May 2019
KARNATAKA BANK,486235,41755.668,1203436,63072.990,May 2019
KARNATAKA STATE CO-OP APEX BANK,295102,14352.549,194057,9849.896,May 2019
KARNATAKA VIKAS GRAMEEN BANK,65491,7110.138,113808,4926.944,May 2019
KARUR VYSYA BANK,987119,90290.277,1497618,101909.793,May 2019
KAVERI GRAMEENA BANK,30667,5954.277,79761,2537.490,May 2019
KOREA EXCHANGE BANK,2310,4518.576,827,6606.432,May 2019
KOTAK MAHINDRA BANK,8825051,675242.979,4700276,715818.111,May 2019
KURMANCHAL NAGAR SAHAKARI BANK,18502,1647.282,13787,887.162,May 2019
KERALA GRAMIN BANK,82011,7085.351,303717,7146.250,May 2019
KOZHIKODE DIST CO-OP BANK,5724,742.748,6449,988.768,May 2019
KRUNG THAI BANK PCL,97,5.448,17,6.771,May 2019
LAKSHMI VILAS BANK,371817,25774.948,365674,28400.259,May 2019
MAHANAGAR CO-OP BANK,15901,1513.030,44589,2348.307,May 2019
